energies,entropy
-1024.0,0.0
-1023.0005,0.0
-1022.001,0.0
-1021.00146,0.0
-1020.00195,0.0
-1019.00244,0.0
-1018.0029,0.0
-1017.0034,0.0
-1016.0039,0.0
-1015.0044,0.0
-1014.0049,0.0
-1013.0054,0.0
-1012.00586,0.0
-1011.00635,0.0
-1010.00684,0.0
-1009.0073,0.0
-1008.0078,0.0
-1007.0083,0.0
-1006.0088,0.0
-1005.0093,0.0
-1004.00977,0.0
-1003.01025,0.0
-1002.01074,0.0
-1001.0112,0.0
-1000.0117,0.0
-999.0122,0.0
-998.0127,0.0
-997.0132,0.0
-996.0137,0.0
-995.01416,0.0
-994.01465,0.0
-993.01514,0.0
-992.0156,0.0
-991.0161,0.0
-990.0166,0.0
-989.0171,0.0
-988.0176,0.0
-987.01807,0.0
-986.01855,0.0
-985.01904,0.0
-984.01953,0.0
-983.02,0.0
-982.0205,0.0
-981.021,0.0
-980.0215,0.0
-979.022,0.0
-978.02246,0.0
-977.02295,0.0
-976.02344,0.0
-975.0239,0.0
-974.0244,0.0
-973.0249,0.0
-972.0254,0.0
-971.0259,0.0
-970.02637,0.0
-969.02686,0.0
-968.02734,0.0
-967.02783,0.0
-966.0283,0.0
-965.0288,0.0
-964.0293,0.0
-963.0298,0.0
-962.0303,0.0
-961.03076,0.0
-960.03125,0.0
-959.03174,0.0
-958.0322,0.0
-957.0327,0.0
-956.0332,0.0
-955.0337,0.0
-954.0342,0.0
-953.03467,0.0
-952.03516,0.0
-951.03564,0.0
-950.03613,0.0
-949.0366,0.0
-948.0371,0.0
-947.0376,0.0
-946.0381,0.0
-945.0386,0.0
-944.03906,0.0
-943.03955,0.0
-942.04004,0.0
-941.0405,0.0
-940.041,0.0
-939.0415,0.0
-938.042,0.0
-937.0425,0.0
-936.04297,0.0
-935.04346,0.0
-934.04395,0.0
-933.04443,0.0
-932.0449,0.0
-931.0454,0.0
-930.0459,0.0
-929.0464,0.0
-928.0469,0.0
-927.04736,0.0
-926.04785,0.0
-925.04834,0.0
