energies,entropy
-1024.0,0.0
-1023.0004880429478,0.0
-1022.0009760858956,0.0
-1021.0014641288433,0.0
-1020.0019521717911,0.0
-1019.002440214739,0.0
-1018.0029282576867,0.0
-1017.0034163006344,0.0
-1016.0039043435822,0.0
-1015.0043923865301,0.0
-1014.0048804294778,0.0
-1013.0053684724255,0.0
-1012.0058565153734,0.0
-1011.0063445583212,0.0
-1010.0068326012689,0.0
-1009.0073206442166,0.0
-1008.0078086871645,0.0
-1007.0082967301123,0.0
-1006.00878477306,0.0
-1005.0092728160078,0.0
-1004.0097608589556,0.0
-1003.0102489019034,0.0
-1002.0107369448511,0.0
-1001.0112249877989,0.0
-1000.0117130307467,0.0
-999.0122010736945,0.0
-998.0126891166423,0.0
-997.01317715959,0.0
-996.0136652025378,0.0
-995.0141532454857,0.0
-994.0146412884334,0.0
-993.0151293313811,0.0
-992.0156173743289,0.0
-991.0161054172768,0.0
-990.0165934602245,0.0
-989.0170815031722,0.0
-988.0175695461201,0.0
-987.0180575890679,0.0
-986.0185456320156,0.0
-985.0190336749633,0.0
-984.0195217179112,0.0
-983.020009760859,0.0
-982.0204978038067,0.0
-981.0209858467545,0.0
-980.0214738897023,0.0
-979.0219619326501,0.0
-978.0224499755979,0.0
-977.0229380185456,0.0
-976.0234260614934,0.0
-975.0239141044412,0.0
-974.024402147389,0.0
-973.0248901903367,0.0
-972.0253782332845,0.0
-971.0258662762324,0.0
-970.0263543191801,0.0
-969.0268423621278,0.0
-968.0273304050756,0.0
-967.0278184480235,0.0
-966.0283064909712,0.0
-965.0287945339189,0.0
-964.0292825768668,0.0
-963.0297706198146,0.0
-962.0302586627623,0.0
-961.03074670571,0.0
-960.0312347486579,0.0
-959.0317227916057,0.0
-958.0322108345534,0.0
-957.0326988775012,0.0
-956.033186920449,0.0
-955.0336749633968,0.0
-954.0341630063446,0.0
-953.0346510492923,0.0
-952.0351390922401,0.0
-951.035627135188,0.0
-950.0361151781357,0.0
-949.0366032210834,0.0
-948.0370912640312,0.0
-947.0375793069791,0.0
-946.0380673499268,0.0
-945.0385553928745,0.0
-944.0390434358224,0.0
-943.0395314787702,0.0
-942.0400195217179,0.0
-941.0405075646656,0.0
-940.0409956076135,0.0
-939.0414836505613,0.0
-938.041971693509,0.0
-937.0424597364567,0.0
-936.0429477794046,0.0
-935.0434358223524,0.0
-934.0439238653001,0.0
-933.0444119082479,0.0
-932.0448999511957,0.0
-931.0453879941435,0.0
-930.0458760370913,0.0
-929.046364080039,0.0
-928.0468521229868,0.0
-927.0473401659347,0.0
-926.0478282088824,0.0
-925.0483162518301,0.0
-924.0488042947779,0.0
-923.0492923377258,0.0
-922.0497803806735,0.0
-921.0502684236212,0.0
-920.050756466569,0.0
-919.0512445095169,0.0
-918.0517325524646,0.0
-917.0522205954123,0.0
-916.0527086383602,0.0
-915.053196681308,0.0
-914.0536847242557,0.0
-913.0541727672035,0.0
-912.0546608101513,0.0
-911.0551488530991,0.0
-910.0556368960468,0.0
-909.0561249389946,0.0
-908.0566129819424,0.0
-907.0571010248902,0.0
-906.057589067838,0.0
-905.0580771107857,0.0
-904.0585651537335,0.0
-903.0590531966814,0.0
-902.0595412396291,0.0
-901.0600292825768,0.0
-900.0605173255246,0.0
-899.0610053684725,0.0
-898.0614934114202,0.0
-897.0619814543679,0.0
-896.0624694973158,0.0
-895.0629575402636,0.0
-894.0634455832113,0.0
-893.063933626159,0.0
-892.0644216691069,0.0
-891.0649097120547,0.0
-890.0653977550024,0.0
-889.0658857979502,0.0
-888.066373840898,0.0
-887.0668618838458,0.0
