energies,entropy
-2048.0,330757.6276855469
-2047.000244081035,0.0
-2046.0004881620698,0.0
-2045.0007322431047,0.0
-2044.0009763241396,0.0
-2043.0012204051745,0.0
-2042.0014644862094,0.0
-2041.0017085672443,0.0
-2040.0019526482793,330764.2268066406
-2039.0021967293142,0.0
-2038.002440810349,0.0
-2037.002684891384,0.0
-2036.0029289724189,330764.86328125
-2035.0031730534538,0.0
-2034.0034171344887,0.0
-2033.0036612155236,0.0
-2032.0039052965585,330770.1345214844
-2031.0041493775934,0.0
-2030.0043934586283,0.0
-2029.0046375396632,0.0
-2028.0048816206981,330771.3386230469
-2027.005125701733,0.0
-2026.005369782768,0.0
-2025.0056138638029,0.0
-2024.0058579448378,330775.4677734375
-2023.0061020258727,0.0
-2022.0063461069076,0.0
-2021.0065901879425,0.0
-2020.0068342689774,330777.49609375
-2019.0070783500123,0.0
-2018.0073224310472,0.0
-2017.0075665120821,0.0
-2016.007810593117,330780.8583984375
-2015.008054674152,0.0
-2014.0082987551866,0.0
-2013.0085428362215,0.0
-2012.0087869172564,330783.09765625
-2011.0090309982913,0.0
-2010.0092750793262,0.0
-2009.0095191603612,0.0
-2008.009763241396,330786.13330078125
-2007.010007322431,0.0
-2006.0102514034659,0.0
-2005.0104954845008,0.0
-2004.0107395655357,330788.32763671875
-2003.0109836465706,0.0
-2002.0112277276055,0.0
-2001.0114718086404,0.0
-2000.0117158896753,330791.3420410156
-1999.0119599707102,0.0
-1998.0122040517451,0.0
-1997.01244813278,0.0
-1996.012692213815,330793.6901855469
-1995.0129362948499,0.0
-1994.0131803758848,0.0
-1993.0134244569197,0.0
-1992.0136685379546,330796.6354980469
-1991.0139126189895,0.0
-1990.0141567000244,0.0
-1989.0144007810593,0.0
-1988.0146448620942,330798.7663574219
-1987.014888943129,0.0
-1986.015133024164,0.0
-1985.015377105199,0.0
-1984.0156211862338,330801.78466796875
-1983.0158652672687,0.0
-1982.0161093483036,0.0
-1981.0163534293386,0.0
-1980.0165975103735,330804.0710449219
-1979.0168415914084,0.0
-1978.0170856724433,0.0
-1977.0173297534782,0.0
-1976.017573834513,330806.9445800781
-1975.017817915548,0.0
-1974.018061996583,0.0
-1973.0183060776178,0.0
-1972.0185501586527,330809.3659667969
-1971.0187942396876,0.0
-1970.0190383207225,0.0
-1969.0192824017574,0.0
-1968.0195264827923,330812.0661621094
-1967.0197705638273,0.0
-1966.0200146448622,0.0
-1965.020258725897,0.0
-1964.020502806932,330814.16650390625
-1963.0207468879669,0.0
-1962.0209909690018,0.0
-1961.0212350500367,0.0
-1960.0214791310716,330816.4226074219
-1959.0217232121065,0.0
-1958.0219672931414,0.0
-1957.0222113741763,0.0
-1956.0224554552112,330819.0026855469
-1955.0226995362461,0.0
-1954.022943617281,0.0
-1953.0231876983157,0.0
-1952.0234317793506,330821.0690917969
-1951.0236758603855,0.0
-1950.0239199414204,0.0
-1949.0241640224554,0.0
-1948.0244081034903,330823.7370605469
-1947.0246521845252,0.0
-1946.02489626556,0.0
-1945.025140346595,0.0
-1944.02538442763,330826.0754394531
-1943.0256285086648,0.0
-1942.0258725896997,0.0
-1941.0261166707346,0.0
-1940.0263607517695,330828.4782714844
-1939.0266048328044,0.0
-1938.0268489138393,0.0
-1937.0270929948742,0.0
-1936.0273370759091,330830.8415527344
-1935.027581156944,0.0
-1934.027825237979,0.0
-1933.0280693190139,0.0
-1932.0283134000488,330833.06494140625
-1931.0285574810837,0.0
-1930.0288015621186,0.0
-1929.0290456431535,0.0
-1928.0292897241884,330835.43701171875
-1927.0295338052233,0.0
-1926.0297778862582,0.0
-1925.0300219672931,0.0
-1924.030266048328,330837.6926269531
-1923.030510129363,0.0
-1922.0307542103978,0.0
-1921.0309982914328,0.0
-1920.0312423724677,330840.00146484375
-1919.0314864535026,0.0
-1918.0317305345375,0.0
-1917.0319746155724,0.0
-1916.0322186966073,330842.0974121094
-1915.0324627776422,0.0
-1914.032706858677,0.0
-1913.032950939712,0.0
-1912.033195020747,330844.5642089844
-1911.0334391017818,0.0
-1910.0336831828167,0.0
-1909.0339272638516,0.0
-1908.0341713448865,330846.8137207031
-1907.0344154259215,0.0
-1906.0346595069564,0.0
-1905.0349035879913,0.0
-1904.0351476690262,330849.0773925781
-1903.035391750061,0.0
-1902.035635831096,0.0
-1901.035879912131,0.0
-1900.0361239931658,330851.4880371094
-1899.0363680742007,0.0
-1898.0366121552356,0.0
-1897.0368562362705,0.0
-1896.0371003173054,330853.4621582031
-1895.0373443983403,0.0
-1894.0375884793752,0.0
-1893.0378325604102,0.0
-1892.038076641445,330855.6384277344
-1891.03832072248,0.0
-1890.0385648035149,0.0
-1889.0388088845498,0.0
-1888.0390529655847,330857.7138671875
-1887.0392970466196,0.0
-1886.0395411276545,0.0
-1885.0397852086894,0.0
-1884.0400292897243,330860.04345703125
-1883.040273370759,0.0
-1882.040517451794,0.0
-1881.0407615328288,0.0
-1880.0410056138637,330861.98291015625
-1879.0412496948986,0.0
-1878.0414937759335,0.0
-1877.0417378569684,0.0
-1876.0419819380033,330864.18115234375
-1875.0422260190383,0.0
-1874.0424701000732,0.0
-1873.042714181108,0.0
-1872.042958262143,330866.1735839844
-1871.0432023431779,0.0
-1870.0434464242128,0.0
-1869.0436905052477,0.0
-1868.0439345862826,330868.5048828125
-1867.0441786673175,0.0
-1866.0444227483524,0.0
-1865.0446668293873,0.0
-1864.0449109104222,330870.5402832031
-1863.0451549914571,0.0
-1862.045399072492,0.0
-1861.045643153527,0.0
-1860.0458872345619,330872.6628417969
-1859.0461313155968,0.0
-1858.0463753966317,0.0
-1857.0466194776666,0.0
-1856.0468635587015,330874.7702636719
-1855.0471076397364,0.0
-1854.0473517207713,0.0
-1853.0475958018062,0.0
-1852.0478398828411,330876.8400878906
-1851.048083963876,0.0
-1850.048328044911,0.0
-1849.0485721259458,0.0
-1848.0488162069807,330878.87939453125
-1847.0490602880157,0.0
-1846.0493043690506,0.0
-1845.0495484500855,0.0
-1844.0497925311204,330881.00341796875
-1843.0500366121553,0.0
-1842.0502806931902,0.0
-1841.050524774225,0.0
-1840.05076885526,330882.974609375
-1839.051012936295,0.0
-1838.0512570173298,0.0
-1837.0515010983647,0.0
-1836.0517451793996,330885.08203125
-1835.0519892604345,0.0
-1834.0522333414694,0.0
-1833.0524774225044,0.0
-1832.0527215035393,330887.2585449219
-1831.0529655845742,0.0
-1830.053209665609,0.0
-1829.053453746644,0.0
-1828.053697827679,330889.15234375
-1827.0539419087136,0.0
-1826.0541859897485,0.0
-1825.0544300707834,0.0
-1824.0546741518183,330891.3171386719
-1823.0549182328532,0.0
-1822.055162313888,0.0
-1821.055406394923,0.0
-1820.055650475958,330893.47705078125
-1819.0558945569928,0.0
-1818.0561386380277,0.0
-1817.0563827190626,0.0
-1816.0566268000975,330895.4436035156
-1815.0568708811325,0.0
-1814.0571149621674,0.0
-1813.0573590432023,0.0
-1812.0576031242372,330897.5905761719
-1811.057847205272,0.0
-1810.058091286307,0.0
-1809.058335367342,0.0
-1808.0585794483768,330899.62353515625
-1807.0588235294117,0.0
-1806.0590676104466,0.0
-1805.0593116914815,0.0
-1804.0595557725164,330901.68701171875
-1803.0597998535513,0.0
-1802.0600439345862,0.0
-1801.0602880156212,0.0
-1800.060532096656,330903.4606933594
-1799.060776177691,0.0
-1798.0610202587259,0.0
-1797.0612643397608,0.0
-1796.0615084207957,330905.56640625
-1795.0617525018306,0.0
-1794.0619965828655,0.0
-1793.0622406639004,0.0
-1792.0624847449353,330907.58984375
-1791.0627288259702,0.0
-1790.0629729070051,0.0
-1789.06321698804,0.0
-1788.063461069075,330909.4582519531
-1787.0637051501099,0.0
-1786.0639492311448,0.0
-1785.0641933121797,0.0
-1784.0644373932146,330911.4455566406
-1783.0646814742495,0.0
-1782.0649255552844,0.0
-1781.0651696363193,0.0
-1780.0654137173542,330913.5107421875
-1779.065657798389,0.0
-1778.065901879424,0.0
-1777.066145960459,0.0
-1776.0663900414938,330915.4753417969
-1775.0666341225287,0.0
-1774.0668782035636,0.0
-1773.0671222845986,0.0
-1772.0673663656335,330917.3811035156
-1771.0676104466684,0.0
-1770.0678545277033,0.0
-1769.0680986087382,0.0
-1768.068342689773,330919.3547363281
-1767.068586770808,0.0
-1766.068830851843,0.0
-1765.0690749328778,0.0
-1764.0693190139127,330921.1435546875
-1763.0695630949476,0.0
-1762.0698071759825,0.0
-1761.0700512570174,0.0
-1760.0702953380523,330923.1486816406
-1759.0705394190873,0.0
-1758.0707835001222,0.0
-1757.071027581157,0.0
-1756.071271662192,330925.0012207031
-1755.0715157432269,0.0
-1754.0717598242618,0.0
-1753.0720039052967,0.0
-1752.0722479863316,330926.99365234375
-1751.0724920673663,0.0
-1750.0727361484012,0.0
-1749.072980229436,0.0
-1748.073224310471,330928.9169921875
-1747.073468391506,0.0
-1746.0737124725408,0.0
-1745.0739565535757,0.0
-1744.0742006346106,330930.9094238281
-1743.0744447156455,0.0
-1742.0746887966804,0.0
-1741.0749328777154,0.0
-1740.0751769587503,330932.7609863281
-1739.0754210397852,0.0
-1738.07566512082,0.0
-1737.075909201855,0.0
-1736.07615328289,330934.7736816406
-1735.0763973639248,0.0
-1734.0766414449597,0.0
-1733.0768855259946,0.0
-1732.0771296070295,330936.6962890625
-1731.0773736880644,0.0
-1730.0776177690993,0.0
-1729.0778618501342,0.0
-1728.0781059311691,330938.5712890625
-1727.078350012204,0.0
-1726.078594093239,0.0
-1725.0788381742739,0.0
-1724.0790822553088,330940.4523925781
-1723.0793263363437,0.0
-1722.0795704173786,0.0
-1721.0798144984135,0.0
-1720.0800585794484,330942.2824707031
-1719.0803026604833,0.0
-1718.0805467415182,0.0
-1717.0807908225531,0.0
-1716.081034903588,330944.0988769531
-1715.081278984623,0.0
-1714.0815230656578,0.0
-1713.0817671466928,0.0
-1712.0820112277277,330945.97802734375
-1711.0822553087626,0.0
-1710.0824993897975,0.0
-1709.0827434708324,0.0
-1708.0829875518673,330947.8464355469
-1707.0832316329022,0.0
-1706.083475713937,0.0
-1705.083719794972,0.0
-1704.083963876007,330949.6296386719
-1703.0842079570416,0.0
-1702.0844520380765,0.0
-1701.0846961191114,0.0
-1700.0849402001463,330951.5703125
-1699.0851842811812,0.0
-1698.0854283622161,0.0
-1697.085672443251,0.0
-1696.085916524286,330953.4440917969
-1695.0861606053209,0.0
-1694.0864046863558,0.0
-1693.0866487673907,0.0
-1692.0868928484256,330955.2980957031
-1691.0871369294605,0.0
-1690.0873810104954,0.0
-1689.0876250915303,0.0
-1688.0878691725652,330957.2331542969
-1687.0881132536,0.0
-1686.088357334635,0.0
-1685.08860141567,0.0
-1684.0888454967048,330959.115234375
-1683.0890895777397,0.0
-1682.0893336587746,0.0
-1681.0895777398096,0.0
-1680.0898218208445,330961.0185546875
-1679.0900659018794,0.0
-1678.0903099829143,0.0
-1677.0905540639492,0.0
-1676.090798144984,330962.8571777344
-1675.091042226019,0.0
-1674.091286307054,0.0
-1673.0915303880888,0.0
-1672.0917744691237,330964.7580566406
-1671.0920185501586,0.0
-1670.0922626311935,0.0
-1669.0925067122284,0.0
-1668.0927507932633,330966.62548828125
-1667.0929948742983,0.0
-1666.0932389553332,0.0
-1665.093483036368,0.0
-1664.093727117403,330968.43896484375
-1663.0939711984379,0.0
-1662.0942152794728,0.0
-1661.0944593605077,0.0
-1660.0947034415426,330970.25830078125
-1659.0949475225775,0.0
-1658.0951916036124,0.0
-1657.0954356846473,0.0
-1656.0956797656822,330972.12158203125
-1655.0959238467171,0.0
-1654.096167927752,0.0
-1653.096412008787,0.0
-1652.0966560898219,330973.95703125
-1651.0969001708568,0.0
-1650.0971442518917,0.0
-1649.0973883329266,0.0
-1648.0976324139615,330975.775390625
-1647.0978764949964,0.0
-1646.0981205760313,0.0
-1645.0983646570662,0.0
-1644.0986087381011,330977.6267089844
-1643.098852819136,0.0
-1642.099096900171,0.0
-1641.0993409812058,0.0
-1640.0995850622407,330979.4509277344
-1639.0998291432757,0.0
-1638.1000732243106,0.0
-1637.1003173053455,0.0
-1636.1005613863804,330981.33251953125
-1635.1008054674153,0.0
-1634.1010495484502,0.0
-1633.101293629485,0.0
-1632.10153771052,330983.2102050781
-1631.101781791555,0.0
-1630.1020258725898,0.0
-1629.1022699536247,0.0
-1628.1025140346596,330985.1271972656
-1627.1027581156945,0.0
-1626.1030021967294,0.0
-1625.1032462777644,0.0
-1624.1034903587993,330986.8955078125
-1623.103734439834,0.0
-1622.1039785208688,0.0
-1621.1042226019038,0.0
-1620.1044666829387,330988.6638183594
-1619.1047107639736,0.0
-1618.1049548450085,0.0
-1617.1051989260434,0.0
-1616.1054430070783,330990.4465332031
-1615.1056870881132,0.0
-1614.105931169148,0.0
-1613.106175250183,0.0
-1612.106419331218,330992.28076171875
-1611.1066634122528,0.0
-1610.1069074932877,0.0
-1609.1071515743226,0.0
-1608.1073956553575,330994.0695800781
-1607.1076397363925,0.0
-1606.1078838174274,0.0
-1605.1081278984623,0.0
-1604.1083719794972,330995.85107421875
-1603.108616060532,0.0
-1602.108860141567,0.0
-1601.109104222602,0.0
-1600.1093483036368,330997.7138671875
-1599.1095923846717,0.0
-1598.1098364657066,0.0
-1597.1100805467415,0.0
-1596.1103246277764,330999.4523925781
-1595.1105687088113,0.0
-1594.1108127898462,0.0
-1593.1110568708812,0.0
-1592.111300951916,331001.3125
-1591.111545032951,0.0
-1590.1117891139859,0.0
-1589.1120331950208,0.0
-1588.1122772760557,331002.9931640625
-1587.1125213570906,0.0
-1586.1127654381255,0.0
-1585.1130095191604,0.0
-1584.1132536001953,331004.9064941406
-1583.1134976812302,0.0
-1582.1137417622651,0.0
-1581.1139858433,0.0
-1580.114229924335,331006.5363769531
-1579.1144740053699,0.0
-1578.1147180864048,0.0
-1577.1149621674397,0.0
-1576.1152062484746,331008.3005371094
-1575.1154503295093,0.0
-1574.1156944105442,0.0
-1573.115938491579,0.0
-1572.116182572614,331010.0109863281
-1571.116426653649,0.0
-1570.1166707346838,0.0
-1569.1169148157187,0.0
-1568.1171588967536,331011.875
-1567.1174029777885,0.0
-1566.1176470588234,0.0
-1565.1178911398583,0.0
-1564.1181352208932,331013.6279296875
-1563.1183793019281,0.0
-1562.118623382963,0.0
-1561.118867463998,0.0
-1560.1191115450329,331015.46923828125
-1559.1193556260678,0.0
-1558.1195997071027,0.0
-1557.1198437881376,0.0
-1556.1200878691725,331017.2795410156
-1555.1203319502074,0.0
-1554.1205760312423,0.0
-1553.1208201122772,0.0
-1552.1210641933121,331019.1027832031
-1551.121308274347,0.0
-1550.121552355382,0.0
-1549.1217964364168,0.0
-1548.1220405174518,331020.78955078125
-1547.1222845984867,0.0
-1546.1225286795216,0.0
-1545.1227727605565,0.0
-1544.1230168415914,331022.6083984375
-1543.1232609226263,0.0
-1542.1235050036612,0.0
-1541.123749084696,0.0
-1540.123993165731,331024.396484375
-1539.124237246766,0.0
-1538.1244813278008,0.0
-1537.1247254088357,0.0
-1536.1249694898706,331026.1413574219
-1535.1252135709055,0.0
-1534.1254576519405,0.0
-1533.1257017329754,0.0
-1532.1259458140103,331027.9016113281
-1531.1261898950452,0.0
-1530.12643397608,0.0
-1529.126678057115,0.0
-1528.12692213815,331029.79931640625
-1527.1271662191848,0.0
-1526.1274103002197,0.0
-1525.1276543812546,0.0
-1524.1278984622895,331031.58056640625
-1523.1281425433244,0.0
-1522.1283866243593,0.0
-1521.1286307053942,0.0
-1520.1288747864292,331033.4538574219
-1519.129118867464,0.0
-1518.129362948499,0.0
-1517.1296070295339,0.0
-1516.1298511105688,331035.2607421875
-1515.1300951916037,0.0
-1514.1303392726386,0.0
-1513.1305833536735,0.0
-1512.1308274347084,331037.197265625
-1511.1310715157433,0.0
-1510.1313155967782,0.0
-1509.1315596778131,0.0
-1508.131803758848,331038.9079589844
-1507.132047839883,0.0
-1506.1322919209179,0.0
-1505.1325360019528,0.0
-1504.1327800829877,331040.7907714844
-1503.1330241640226,0.0
-1502.1332682450575,0.0
-1501.1335123260924,0.0
-1500.1337564071273,331042.50732421875
-1499.1340004881622,0.0
